,index,term,course,Course,Instructor,Qtr/Yr,Enrollment,CAPEs Returned,Question,Freshman,Sophomore,Junior,Senior,Graduate,Extension,Visitor,Major,Minor,Gen. Ed.,Elective,Interest,A,B,C,D,F,P,NP,Strongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Not Applicable,0-1,2-3,4-5,6-7,8-9,10-11,12-13,14-15,16-17,18-19,20 or more,Very Rarely,Some of the Time,Most of the Time,Yes,No,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0,FA12,LTCS 87,LTCS 87 (A00) - Freshman Seminar              ,"Wesling, Megan E.",FA12,12,7,General Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,FA12,LTCS 87,,,,,,Your class level is,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,FA12,LTCS 87,,,,,,Your reason for taking this class is,,,,,,,,0,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,FA12,LTCS 87,,,,,,What grade do you expect in this class?,,,,,,,,,,,,,1,1,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,FA12,LTCS 87,,,,,,I learned a great deal from this course.,,,,,,,,,,,,,,,,,,,,1,0,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,FA12,LTCS 87,,,,,,How many hours a week do you spend studying outside of class on average?,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
6,0.0,FA12,LTCS 87,,,,,,How often do you attend this course?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,,,,,,,,,,,,,,,,,,
7,0.0,FA12,LTCS 87,,,,,,The course material is intellectually stimulating.,,,,,,,,,,,,,,,,,,,,0,1,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,FA12,LTCS 87,,,,,,Assignments promote learning.,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,FA12,LTCS 87,,,,,,Required reading is useful.,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,FA12,LTCS 87,,,,,,This course is difficult relative to others.,,,,,,,,,,,,,,,,,,,,3,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,FA12,LTCS 87,,,,,,Exams are representative of the course material.,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,FA12,LTCS 87,,,,,,Do you recommend this course overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,
13,0.0,FA12,LTCS 87,,,,,,Instructor displays a proficient command of the material.,,,,,,,,,,,,,,,,,,,,0,0,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,FA12,LTCS 87,,,,,,Instructor is well prepared for classes.,,,,,,,,,,,,,,,,,,,,0,0,0,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,FA12,LTCS 87,,,,,,Instructor's speech is clear and audible.,,,,,,,,,,,,,,,,,,,,0,0,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,FA12,LTCS 87,,,,,,Instructor explains the course material well.,,,,,,,,,,,,,,,,,,,,0,0,0,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,FA12,LTCS 87,,,,,,Lectures hold your attention.,,,,,,,,,,,,,,,,,,,,0,1,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,FA12,LTCS 87,,,,,,Instructor’s lecture style facilitates note-taking.,,,,,,,,,,,,,,,,,,,,0,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,FA12,LTCS 87,,,,,,Instructor shows concern for students' learning.,,,,,,,,,,,,,,,,,,,,0,0,1,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,FA12,LTCS 87,,,,,,Instructor promotes appropriate questions/discussion.,,,,,,,,,,,,,,,,,,,,0,0,1,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,FA12,LTCS 87,,,,,,Instructor is accessible outside of class.,,,,,,,,,,,,,,,,,,,,0,0,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,FA12,LTCS 87,,,,,,Instructor starts and finishes class on time.,,,,,,,,,,,,,,,,,,,,0,0,1,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,FA12,LTCS 87,,,,,,Instructor is effective in promoting academic integrity.,,,,,,,,,,,,,,,,,,,,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,FA12,LTCS 87,,,,,,"The instructor practiced effective teaching strategies that acknowledged and valued differences among students, including differences of race and gender identity.",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,FA12,LTCS 87,,,,,,Do you recommend this professor overall?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,
0,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,PLEASE COMMENT ON THE FOLLOWING:,,,
3,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freshman,Sophomore,Junior,Senior,Graduate,Extension,Visitor,#Resp,Mean,StDev,,,,
6,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Your class level is,6100%,00%,00%,00%,00%,00%,00%,6,,,,,,
7,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Major,Minor,Gen. Ed.,Elective,Interest,#Resp,Mean,StDev,,,,,,
10,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Your reason for taking this class is,00%,00%,114%,00%,686%,7,,,,,,,,
11,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,C,D,F,P,NP,#Resp,Mean,StDev,,,,
14,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,What grade do you expect in this class?,117%,117%,00%,00%,00%,467%,00%,6,3.50,0.50,,,,
15,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,FA12,LTCS 87,,,,,,Grade received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
